GT_X,GT_Y,GT_Z,Est_X,Est_Y,Est_Z,Yaw,Error,Time_s,Filename
0.4000,0.4000,1.2000,0.389538,0.409912,1.154019,0.000000,0.048187,1.59,delay_0.40_0.40_1.20_0.png
0.4000,0.4000,1.8000,0.458065,0.442447,1.729136,0.000000,0.100970,1.28,delay_0.40_0.40_1.80_0.png
0.4000,0.4000,2.5000,0.417325,0.397011,2.547357,0.000000,0.050515,0.84,delay_0.40_0.40_2.50_0.png
0.4000,1.4000,1.2000,0.817015,1.344506,1.245570,0.000000,0.423153,1.87,delay_0.40_1.40_1.20_0.png
0.4000,1.4000,1.8000,0.424570,1.424981,1.769609,0.000000,0.046382,1.57,delay_0.40_1.40_1.80_0.png
0.4000,1.4000,2.5000,0.720899,1.457338,2.468849,0.000000,0.327467,1.02,delay_0.40_1.40_2.50_0.png
0.4000,2.5000,1.2000,0.772293,2.260433,1.018491,0.000000,0.478476,0.67,delay_0.40_2.50_1.20_0.png
0.4000,2.5000,1.8000,0.441067,2.532283,1.786318,0.000000,0.053999,1.46,delay_0.40_2.50_1.80_0.png
0.4000,2.5000,2.5000,0.361918,2.331655,2.241839,240.000000,0.310544,1.45,delay_0.40_2.50_2.50_240.png
0.4000,3.5000,1.2000,0.710464,3.461454,1.165560,0.000000,0.314737,1.62,delay_0.40_3.50_1.20_0.png
0.4000,3.5000,1.8000,0.422317,3.484111,1.737213,0.000000,0.068503,1.49,delay_0.40_3.50_1.80_0.png
0.4000,3.5000,2.5000,0.406994,3.452720,2.496108,0.000000,0.047953,1.50,delay_0.40_3.50_2.50_0.png
0.4000,4.6000,1.2000,0.276940,4.621288,1.181523,0.000000,0.126247,2.27,delay_0.40_4.60_1.20_0.png
0.4000,4.6000,1.8000,0.953884,4.556036,1.673687,0.000000,0.569803,1.38,delay_0.40_4.60_1.80_0.png
0.4000,4.6000,2.5000,0.892559,4.333732,2.182478,0.000000,0.643687,1.29,delay_0.40_4.60_2.50_0.png
1.4000,0.4000,1.2000,1.286929,1.291863,1.480968,120.000000,0.941886,0.69,delay_1.40_0.40_1.20_120.png
1.4000,0.4000,1.8000,1.373356,0.795719,1.737062,120.000000,0.401578,1.19,delay_1.40_0.40_1.80_120.png
1.4000,0.4000,2.5000,1.436091,0.363102,2.538489,120.000000,0.064385,0.97,delay_1.40_0.40_2.50_120.png
1.4000,1.4000,1.2000,1.404363,1.411485,1.202901,120.000000,0.012624,2.40,delay_1.40_1.40_1.20_120.png
1.4000,1.4000,1.8000,1.402662,1.475545,1.795253,120.000000,0.075740,1.26,delay_1.40_1.40_1.80_120.png
1.4000,1.4000,2.5000,1.388339,1.447356,2.469289,120.000000,0.057634,0.94,delay_1.40_1.40_2.50_120.png
