GT_X,GT_Y,GT_Z,Est_X,Est_Y,Est_Z,Yaw,Initial_Error,Final_Error,Time_s,Filename
0.4000,0.4000,1.2000,0.360327,0.261626,1.217001,0.000000,0.331662,0.144949,0.84,delay_0.40_0.40_1.20_0.png
0.4000,0.4000,1.8000,0.443726,0.422050,1.762113,0.000000,0.244949,0.061916,1.15,delay_0.40_0.40_1.80_0.png
0.4000,0.4000,2.5000,0.301353,0.342838,2.574342,0.000000,0.141421,0.136108,0.95,delay_0.40_0.40_2.50_0.png
0.4000,1.4000,1.2000,0.361837,1.378349,1.215193,0.000000,0.458258,0.046433,0.96,delay_0.40_1.40_1.20_0.png
0.4000,1.4000,1.8000,0.501759,1.400135,1.778324,0.000000,0.244949,0.104042,1.09,delay_0.40_1.40_1.80_0.png
0.4000,1.4000,2.5000,0.668217,1.466772,2.412289,0.000000,0.412311,0.289987,0.83,delay_0.40_1.40_2.50_0.png
0.4000,2.5000,1.2000,0.849853,2.548686,1.237372,0.000000,0.489898,0.454020,0.82,delay_0.40_2.50_1.20_0.png
0.4000,2.5000,1.8000,0.521820,2.513470,1.788953,0.000000,0.300000,0.123059,0.76,delay_0.40_2.50_1.80_0.png
0.4000,2.5000,2.5000,0.364917,2.050800,2.548988,240.000000,0.223607,0.453223,0.69,delay_0.40_2.50_2.50_240.png
0.4000,3.5000,1.2000,0.392923,3.505383,1.206600,0.000000,0.489898,0.011074,1.20,delay_0.40_3.50_1.20_0.png
0.4000,3.5000,1.8000,0.390755,3.482819,1.783364,0.000000,0.300000,0.025640,1.24,delay_0.40_3.50_1.80_0.png
0.4000,3.5000,2.5000,0.428117,3.494704,2.505833,0.000000,0.316228,0.029200,1.16,delay_0.40_3.50_2.50_0.png
0.4000,4.6000,1.2000,0.503274,4.587161,1.146477,0.000000,0.374166,0.117026,1.11,delay_0.40_4.60_1.20_0.png
0.4000,4.6000,1.8000,0.827795,4.580048,1.741197,0.000000,0.583095,0.432278,0.89,delay_0.40_4.60_1.80_0.png
0.4000,4.6000,2.5000,0.836616,4.474729,2.352495,0.000000,0.707107,0.477582,1.04,delay_0.40_4.60_2.50_0.png
1.4000,0.4000,1.2000,1.522260,1.338385,1.510863,120.000000,0.953939,0.996067,0.65,delay_1.40_0.40_1.20_120.png
1.4000,0.4000,1.8000,1.407965,0.398338,1.796833,120.000000,0.458258,0.008731,1.17,delay_1.40_0.40_1.80_120.png
1.4000,0.4000,2.5000,1.394454,0.405280,2.494797,120.000000,0.141421,0.009258,0.94,delay_1.40_0.40_2.50_120.png
1.4000,1.4000,1.2000,1.317192,1.490172,1.264842,120.000000,0.458258,0.138537,0.65,delay_1.40_1.40_1.20_120.png
1.4000,1.4000,1.8000,1.385716,1.387868,1.786758,120.000000,0.331662,0.022947,0.82,delay_1.40_1.40_1.80_120.png
1.4000,1.4000,2.5000,1.356036,1.586938,2.303362,120.000000,0.141421,0.274854,0.67,delay_1.40_1.40_2.50_120.png
1.4000,2.5000,1.2000,1.423912,2.487306,1.206457,120.000000,0.300000,0.027832,0.85,delay_1.40_2.50_1.20_120.png
1.4000,2.5000,1.8000,1.402137,2.525103,1.809695,120.000000,0.860233,0.026995,1.30,delay_1.40_2.50_1.80_120.png
1.4000,2.5000,2.5000,1.395250,2.427253,2.460321,240.000000,0.316228,0.083000,0.73,delay_1.40_2.50_2.50_240.png
1.4000,3.5000,1.2000,1.383684,3.485266,1.173212,240.000000,0.300000,0.034655,1.07,delay_1.40_3.50_1.20_240.png
1.4000,3.5000,1.8000,1.410818,3.493277,1.779763,240.000000,0.374166,0.023911,0.79,delay_1.40_3.50_1.80_240.png
1.4000,3.5000,2.5000,1.392890,3.479714,2.445284,240.000000,0.316228,0.058787,0.71,delay_1.40_3.50_2.50_240.png
1.4000,4.6000,1.2000,1.018340,3.291988,1.694898,240.000000,1.337909,1.449650,0.67,delay_1.40_4.60_1.20_240.png
1.4000,4.6000,1.8000,1.375544,4.495886,1.742440,240.000000,0.374166,0.121453,0.74,delay_1.40_4.60_1.80_240.png
1.4000,4.6000,2.5000,1.337230,4.308376,2.260534,240.000000,0.316228,0.382529,0.74,delay_1.40_4.60_2.50_240.png
2.5000,0.4000,1.2000,2.209706,1.087857,1.417924,120.000000,1.178983,0.777759,0.87,delay_2.50_0.40_1.20_120.png
2.5000,0.4000,1.8000,2.490437,0.394386,1.778076,120.000000,0.374166,0.024569,0.93,delay_2.50_0.40_1.80_120.png
2.5000,0.4000,2.5000,2.531058,0.339404,2.506916,120.000000,0.223607,0.068442,0.80,delay_2.50_0.40_2.50_120.png
2.5000,1.4000,1.2000,2.491582,1.380067,1.177444,120.000000,0.489898,0.031256,0.90,delay_2.50_1.40_1.20_120.png
2.5000,1.4000,1.8000,2.504402,1.416675,1.790319,120.000000,0.374166,0.019777,0.83,delay_2.50_1.40_1.80_120.png
2.5000,1.4000,2.5000,2.540627,1.394143,2.520101,120.000000,0.316228,0.045704,0.75,delay_2.50_1.40_2.50_120.png
2.5000,2.5000,1.2000,2.451840,2.505316,1.212655,120.000000,0.346410,0.050077,0.77,delay_2.50_2.50_1.20_120.png
2.5000,2.5000,1.8000,2.474792,2.493062,1.812622,120.000000,0.412311,0.029033,0.71,delay_2.50_2.50_1.80_120.png
2.5000,2.5000,2.5000,2.492411,2.486899,2.485979,120.000000,0.360555,0.020635,0.68,delay_2.50_2.50_2.50_120.png
2.5000,3.5000,1.2000,2.487449,3.471342,1.204880,240.000000,0.346410,0.031664,0.88,delay_2.50_3.50_1.20_240.png
2.5000,3.5000,1.8000,2.478829,3.468880,1.813682,240.000000,0.346410,0.040048,0.77,delay_2.50_3.50_1.80_240.png
2.5000,3.5000,2.5000,2.498342,3.492893,2.509413,240.000000,0.282843,0.011910,0.71,delay_2.50_3.50_2.50_240.png
2.5000,4.6000,1.2000,2.466063,4.533049,1.182548,240.000000,0.412311,0.077064,0.82,delay_2.50_4.60_1.20_240.png
2.5000,4.6000,1.8000,2.471230,4.596984,1.785929,240.000000,0.469042,0.032168,0.81,delay_2.50_4.60_1.80_240.png
2.5000,4.6000,2.5000,2.469576,4.591757,2.480387,240.000000,0.360555,0.037125,0.77,delay_2.50_4.60_2.50_240.png
3.5000,0.4000,1.2000,3.466137,0.410889,1.201865,120.000000,0.435890,0.035620,0.93,delay_3.50_0.40_1.20_120.png
3.5000,0.4000,1.8000,3.447414,0.412492,1.762527,120.000000,0.374166,0.065769,0.91,delay_3.50_0.40_1.80_120.png
3.5000,0.4000,2.5000,3.465624,0.443752,2.470392,120.000000,0.223607,0.063029,1.01,delay_3.50_0.40_2.50_120.png
3.5000,1.4000,1.2000,3.486269,1.397117,1.198006,120.000000,0.860233,0.014172,1.55,delay_3.50_1.40_1.20_120.png
3.5000,1.4000,1.8000,3.499008,1.426907,1.784398,120.000000,0.374166,0.031119,0.87,delay_3.50_1.40_1.80_120.png
3.5000,1.4000,2.5000,3.547895,1.308066,2.524454,120.000000,0.316228,0.106507,0.78,delay_3.50_1.40_2.50_120.png
3.5000,2.5000,1.2000,3.470565,2.477900,1.181621,120.000000,0.346410,0.041142,0.71,delay_3.50_2.50_1.20_120.png
